ID Donatur,recency,frequency,monetary,last_date,last_nominal,program,cara_bayar,monetary_log,cluster,churn,segmen,prob_churn,prediksi
DAD-00160,1401,2,200000.0,2022-03-01,100000.0,Becare Food,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00161,1309,4,400000.0,2022-06-01,100000.0,Becare Food,Transfer,12.899222326086994,2,0,Tidak Churn,1.6122992e-06,0
DAD-00162,1370,4,400000.0,2022-04-01,100000.0,Becare Food,Transfer,12.899222326086994,2,0,Tidak Churn,1.6122992e-06,0
DAD-00163,1401,2,200000.0,2022-03-01,100000.0,Becare Food,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00164,1401,2,200000.0,2022-03-01,100000.0,Becare Food,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00165,138,3,250000.0,2025-08-15,50000.0,Becare Food,Transfer,12.429220196836383,1,1,Berpotensi Churn,0.9999932,1
DAD-00166,1401,2,120000.0,2022-03-01,60000.0,Becare Food,Transfer,11.695255355062795,2,0,Tidak Churn,5.3967187e-06,0
DAD-00167,1069,17,465000.0,2023-01-27,25000.0,Becare Food,Transfer,13.049794835104816,2,0,Tidak Churn,1.1003837e-06,0
DAD-00168,1401,2,80000.0,2022-03-01,40000.0,Becare Food,Transfer,11.289794413577894,2,0,Tidak Churn,7.2823996e-06,0
DAD-00169,1370,4,200000.0,2022-04-01,50000.0,Becare Food,Transfer,12.206077645517674,2,0,Tidak Churn,2.025184e-06,0
DAD-00170,31,112,3536000.0,2025-11-30,20000.0,Pulihkan Duka Negeri Palestina,Transfer,15.078506985545062,0,0,Tidak Churn,0.0002543312,0
DAD-00171,1279,6,800000.0,2022-07-01,100000.0,Becare Food,Transfer,13.592368256649284,2,0,Tidak Churn,1.6761821e-06,0
DAD-00172,1279,4,400000.0,2022-07-01,100000.0,Becare Food,Transfer,12.899222326086994,2,0,Tidak Churn,1.6122992e-06,0
DAD-00173,1370,4,80000.0,2022-04-01,20000.0,Becare Food,Transfer,11.289794413577894,2,0,Tidak Churn,5.3908343e-06,0
DAD-00174,1401,2,200000.0,2022-03-01,100000.0,Becare Food,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00175,1401,2,40000.0,2022-03-01,20000.0,Becare Food,Transfer,10.596659732783579,2,0,Tidak Churn,0.00051167863,0
DAD-00176,1401,2,300000.0,2022-03-01,150000.0,Wakaf Qur'an,Transfer,12.611541086966115,2,0,Tidak Churn,2.294864e-06,0
DAD-00177,1401,2,200000.0,2022-03-01,100000.0,Wakaf Qur'an,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00178,1114,11,640000.0,2022-12-13,100000.0,Wakaf Qur'an,Transfer,13.369225017834633,2,0,Tidak Churn,1.1033627e-06,0
DAD-00179,1279,18,2240000.0,2022-07-01,150000.0,Wakaf Qur'an,Transfer,14.621986870259695,2,0,Tidak Churn,1.7419912e-06,0
DAD-00180,1279,6,280000.0,2022-07-01,70000.0,Becare Food,Transfer,12.54254845357358,2,0,Tidak Churn,1.3435126e-06,0
DAD-00181,1279,8,300000.0,2022-07-01,20000.0,Wakaf Qur'an,Transfer,12.611541086966115,2,0,Tidak Churn,1.5301658e-06,0
DAD-00182,1370,4,480000.0,2022-04-01,140000.0,Wakaf Qur'an,Transfer,13.081543466215237,2,0,Tidak Churn,1.3584021e-06,0
DAD-00183,1279,6,240000.0,2022-07-01,20000.0,Wakaf Qur'an,Transfer,12.388398368982115,2,0,Tidak Churn,1.7216129e-06,0
DAD-00186,1401,2,100000.0,2022-03-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00187,1401,2,200000.0,2022-03-01,100000.0,Wakaf Qur'an,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00188,1279,16,1000000.0,2022-07-01,50000.0,Wakaf Qur'an,Transfer,13.815511557963774,2,0,Tidak Churn,1.7532628e-06,0
DAD-00189,1279,8,1000000.0,2022-07-01,100000.0,Wakaf Qur'an,Transfer,13.815511557963774,2,0,Tidak Churn,1.9828908e-06,0
DAD-00190,810,9,1780000.0,2023-10-13,300000.0,Bantuan Palestina,Transfer,14.392124484065864,2,0,Tidak Churn,2.4121034e-06,0
DAD-00191,1279,10,1300000.0,2022-07-01,250000.0,Wakaf Qur'an,Transfer,14.077875591662238,2,0,Tidak Churn,1.9752335e-06,0
DAD-00192,1401,2,300000.0,2022-03-01,150000.0,Wakaf Qur'an,Transfer,12.611541086966115,2,0,Tidak Churn,2.294864e-06,0
DAD-00193,1279,8,500000.0,2022-07-01,50000.0,Bantuan Palestina,Transfer,13.122365377402328,2,0,Tidak Churn,1.2235693e-06,0
DAD-00194,1340,4,160000.0,2022-05-01,30000.0,Wakaf Qur'an,Transfer,11.982935344196433,2,0,Tidak Churn,2.0426837e-06,0
DAD-00195,1401,2,140000.0,2022-03-01,70000.0,Wakaf Qur'an,Transfer,11.849404844423074,2,0,Tidak Churn,3.907734e-06,0
DAD-00196,1279,4,240000.0,2022-07-01,70000.0,Qur'an Minded,Transfer,12.388398368982115,2,0,Tidak Churn,1.9113281e-06,0
DAD-00197,1401,2,100000.0,2022-03-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00198,1401,2,100000.0,2022-03-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
